sku|store_number|description|regular_price|dept_code|sale_price|sale_qty|promo_start_date|promo_end_date|promo_min_qty|promo_limit_qty|promo_buy_qty|promo_get_qty|promo_tag|family_sale_code|tax_pct|bottle_deposit|cool|brand_name|product_name|size|uom|scale_flag|how_to_sell|avg_weight|wgt_selector|item_location
00036800092679|72|TC CHEW ORNG ASPIRIN 3PK 81MG|3.99|10||||||||||||||||108|CT|N||||
00016264011058|72|PREMIUM OREO ICE CREAM CAKE|16.99|58||||||||||||||||48|OZ|N||||
00041262281400|72|WISE NATURAL CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||9|OZ|N||||
00041262281417|72|WISE LIGHTLY SALTED CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||9|OZ|N||||
00041262281424|72|WISE UNSALTED CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||9|OZ|N||||
00041262281431|72|WISE HONEY BBQ CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||8.75|OZ|N||||
00041262281448|72|WISE BBQ CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||8.75|OZ|N||||
00041262281462|72|WISE ONION GARLIC CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||8.75|OZ|N||||
00041262281479|72|WISE SALT & VINEGAR CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||8.75|OZ|N||||
00041262281486|72|WISE RIDGIE CHIPS|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||9.00|OZ|N||||
00041262281493|72|WISE SOUR CREAM CHIP|4.29|89|2.99|1|2018/06/14|2018/08/08|0|0|||Giant Eagle Advantage Card Price|15015574||||||8.75|OZ|N||||
